DOR Code,Municipality,County,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernment,Other Expenses,Debt Service
123,Hanson,PLYMOUTH,"2,370,909","3,469,091","2,645,517","203,685","16,440,505","2,177,932","364,403","581,135","4,462,119","166,187","17,991","547,698"
124,Hardwick,WORCESTER,"652,397","840,876","163,106","40,648","3,097,236","639,720","102,527","88,788","506,650","17,703","21,630","48,141"
125,Harvard,WORCESTER,"2,371,343","1,310,282","570,480","418,781","15,325,929","2,154,374","333,416","845,509","5,110,860","566,669","5,117","3,893,155"
126,Harwich,BARNSTABLE,"7,303,091","5,136,891","5,625,903","1,462","30,483,666","8,009,709","1,527,534","4,395,730","9,887,750","835,482",0,"2,541,800"
127,Hatfield,HAMPSHIRE,"806,453","318,476","336,262","229,211","6,023,724","1,371,986","215,485","137,575","1,791,899","771,143",0,"231,129"
128,Haverhill,ESSEX,"5,508,774","14,779,090","13,250,153","266,887","125,592,909","11,293,256","2,357,337","2,895,500","49,313,600","8,762,494","2,162,790","5,179,894"
129,Hawley,FRANKLIN,"118,802","1,495","25,007","9,947","603,279","1,100,585","5,217","2,400","120,216",0,0,0
130,Heath,FRANKLIN,"476,152","34,146","49,479","12,330","1,117,807","462,627","18,556","55,055","246,215","1,639","6,712","173,564"
131,Hingham,PLYMOUTH,"6,057,595","7,485,678","8,288,237","1,744,348","64,873,416","6,986,408","985,195","2,740,666","16,428,244","987,694","1,108,641","8,599,792"
132,Hinsdale,BERKSHIRE,"562,806","469,294","89,521","30,607","3,270,577","1,182,270","40,532","117,870","501,236","21,626","1,634","18,176"
133,Holbrook,NORFOLK,"1,748,008","3,573,106","2,744,853","2,719,865","18,441,949","2,038,080","143,525","581,082","9,845,231","1,400,584","257,666","3,260,869"
134,Holden,WORCESTER,"3,281,974","2,805,382","2,639,846","940,666","37,097,584","4,606,032","307,995","989,415","4,698,930","158,084",0,"3,981,782"
135,Holland,HAMPDEN,"586,535","213,344","183,435","259,222","4,479,071","1,150,601","134,768","86,172","936,142","73,968",0,"179,492"
136,Holliston,MIDDLESEX,"2,491,469","3,457,998","1,065,490","1,305,140","42,068,487","3,886,383","691,459","770,642","9,697,918","678,717",0,"373,650"
137,Holyoke,HAMPDEN,,,,,,,,,,,,
138,Hopedale,WORCESTER,"1,289,105","1,862,546","1,614,089","124,709","15,159,456","924,824","909,071","474,667","5,838,481","27,999",0,"320,237"
139,Hopkinton,MIDDLESEX,"4,619,145","2,742,152","3,897,923","868,673","60,516,321","6,633,874","1,302,865","1,080,563","10,571,608","414,221",0,"7,317,431"
140,Hubbardston,WORCESTER,"638,863","705,528","528,193","411,972","6,297,701","1,058,144","29,009","95,939","787,402",0,"9,952","126,960"
141,Hudson,MIDDLESEX,,,,,,,,,,,,
142,Hull,PLYMOUTH,"3,285,217","3,768,188","3,936,703","321,252","17,647,231","1,263,662","694,698","418,232","10,966,486","1,745,431","180,000","3,563,026"
143,Huntington,HAMPSHIRE,"503,349","162,697","102,135","117,569","3,965,456","820,202","54,791","98,928","230,598","7,104",0,"77,478"
144,Ipswich,ESSEX,"3,480,888","3,185,941","2,244,534","1,107,129","31,448,618","4,456,020","651,743","930,849","10,320,142","325,271","99,853","1,038,670"
145,Kingston,PLYMOUTH,"4,055,975","4,497,434","4,370,087","511,211","28,771,294","2,675,656","815,577","1,158,163","7,944,213","510,477",0,"201,263"
146,Lakeville,PLYMOUTH,"2,430,904","2,535,496","1,662,532","464,642","19,322,200","1,229,063","525,753","387,555","3,794,372","211,782",0,"879,882"
147,Lancaster,WORCESTER,"2,195,120","1,174,956","724,569","369,656","17,755,485","682,835","251,824","481,955","1,605,666","151,607","53,733","388,525"
148,Lanesborough,BERKSHIRE,"850,016","787,671","99,667","332,379","6,930,756","1,152,539","106,187","143,562","1,016,240","113,143",0,0
149,Lawrence,ESSEX,"8,420,800","17,701,108","16,029,259","1,587,409","258,301,696","16,245,730","935,688","1,554,449","28,025,382","41,024,153","754,185","14,879,811"
150,Lee,BERKSHIRE,"1,202,038","1,478,930","1,140,240","182,886","10,647,478","1,720,339","172,134","439,267","4,120,527","672,588",0,0
151,Leicester,WORCESTER,"2,490,470","2,337,017","385,873","171,784","19,850,646","1,403,788","150,736","250,181","5,137,353","871,668","2,554,981","2,056,050"
152,Lenox,BERKSHIRE,"1,608,962","1,442,585","639,485","713,768","12,658,102","1,765,275","240,684","1,064,229","5,289,121","338,054",50,"255,885"
153,Leominster,WORCESTER,"6,121,132","9,919,280","11,569,394","1,861,751","83,867,356","8,393,609","1,194,134","2,840,665","6,587,634","3,699,900","39,064","1,488,340"
154,Leverett,FRANKLIN,"513,293","287,398","307,099","72,617","4,520,758","513,238","23,558","104,433","374,081",0,"54,826","438,634"
155,Lexington,MIDDLESEX,"22,001,442","8,089,801","8,861,266","2,219,599","138,583,334","9,678,640","2,026,449","4,874,521","43,951,486","981,462","185,539","23,374,202"
156,Leyden,FRANKLIN,"289,416","95,024","51,426","44,167","891,845","373,143","23,938","30,152","142,972","5,393","125,833",0
157,Lincoln,MIDDLESEX,"3,318,171","1,964,672","2,166,799","930,305","16,260,611","2,280,121","733,454","2,093,453","7,643,836","200,610","474,631","4,734,169"
158,Littleton,MIDDLESEX,"4,241,135","2,885,980","2,414,278","926,048","25,169,229","3,601,713","602,381","1,136,845","9,137,341","1,184,102",0,"2,888,135"
159,Longmeadow,HAMPDEN,"5,482,695","3,100,647","2,724,189","60,716","39,148,180","3,419,599","448,078","1,493,729","5,859,744","337,343","758,234","6,501,742"
160,Lowell,MIDDLESEX,"22,656,103","32,617,707","24,330,091","1,510,598","250,660,684","17,430,973","4,634,123","5,051,037","65,593,385","44,924,194",0,"12,959,707"
161,Ludlow,HAMPDEN,"3,840,456","4,709,083","4,027,177","2,034,315","35,383,189","4,917,470","1,260,101","896,919","15,854,513","1,221,200","13,834","2,518,059"
162,Lunenburg,WORCESTER,"3,032,086","2,346,201","1,579,734","525,912","23,893,379","2,543,570","390,676","676,216","5,173,052","1,018,211",0,"3,518,014"
163,Lynn,ESSEX,"8,120,932","24,729,784","24,152,764","29,405,828","232,362,613","16,528,967","965,329","1,669,701","44,615,578","39,681,276",0,"14,257,337"
164,Lynnfield,ESSEX,"4,208,095","4,308,075","2,083,333","322,035","34,810,527","4,900,500","635,390","1,099,195","11,076,884","538,838","554,692","3,591,189"
165,Malden,MIDDLESEX,"11,058,849","13,328,273","13,417,078","1,378,477","92,425,676","10,764,344","1,595,706","2,767,051","18,330,519","15,203,098",0,"7,419,152"
166,Manchester By The Sea,ESSEX,"2,152,573","2,164,097","1,880,864","154,004","20,113,895","2,688,507","429,852","1,034,482","3,330,117","185,187",0,"895,077"
167,Mansfield,BRISTOL,"4,997,160","6,782,809","5,782,328","1,211,482","59,346,699","5,379,052","794,720","993,725","20,789,224","2,050,077",0,"4,351,558"
168,Marblehead,ESSEX,"3,311,081","4,983,992","5,331,052","598,513","45,816,392","6,040,577","847,938","2,212,627","18,122,284","1,832,947",0,"11,006,139"
